@RELATION UCAB

@ATTRIBUTE x	REAL
@ATTRIBUTE y	REAL
@ATTRIBUTE z 	REAL
@ATTRIBUTE clase {Pasillo,L1207,L1208,L1209,L1210,L1211,L1212,L1213}

@DATA
-1.29999995231628,-28,-18.6000003814697,L1207
10.1999998092651,-28.3999996185302,-19.8999996185302,L1207
18.1000003814697,-19.2000007629394,-20.2999992370605,L1207
22,-9.30000019073486,-22.5,L1207
22.2999992370605,-11,-22.5,L1207
21.8999996185302,-11.8999996185302,-20.7999992370605,L1207
21.8999996185302,-11,-20.3999996185302,L1207
22.2999992370605,-12.6999998092651,-19.6000003814697,L1207
22.2999992370605,-12.1000003814697,-19.2000007629394,L1207
21.8999996185302,-10.6999998092651,-19.2000007629394,L1207
21.8999996185302,-10.6999998092651,-19.2000007629394,L1207
21.8999996185302,-8.69999980926513,-19.2000007629394,L1207
22.7000007629394,-8.80000019073486,-19.2000007629394,L1207
22.7000007629394,-9.30000019073486,-17.8999996185302,L1207
23.5,-8.60000038146972,-12.6000003814697,L1207
24.2999992370605,-10,-10.6000003814697,L1207
23.8999996185302,-11,-9.69999980926513,L1207
6.05999994277954,19.0100002288818,-20.3199996948242,L1207
5.6100001335144,18.2000007629394,-21.2999992370605,L1207
4.40000009536743,18.2000007629394,-21.2999992370605,L1207
3.5,14.1999998092651,-23,L1207
9.60000038146972,13.5,-23.5,L1207
21.1000003814697,11.8999996185302,-20,L1207
23.8999996185302,-5.69999980926513,-18.1000003814697,L1207
24.5,-7.80000019073486,-16.7000007629394,L1207
24.8999996185302,-7.30000019073486,-16.7000007629394,L1207
25.7999992370605,-2.29999995231628,-16.2999992370605,L1207
-4.40000009536743,14.5,-28.6000003814697,L1207
-2.29999995231628,9.5,-28.1000003814697,L1207
2,10.8999996185302,-27.5,L1207
0,11.8000001907348,-24.3999996185302,L1207
0.400000005960464,12.6000003814697,-22.7000007629394,L1207
1.60000002384185,12.6000003814697,-19.2999992370605,L1207
0.600000023841857,13.5,-16.2000007629394,L1207
4.40000009536743,19.7000007629394,-12,L1207
-3.40000009536743,23.8999996185302,-11.6999998092651,L1207
-5.5,23.8999996185302,-12.1000003814697,L1207
-5.5,25.5,-13.3000001907348,L1207
-15.1000003814697,26.7000007629394,-13.6999998092651,L1207
-9.10000038146972,29.6000003814697,-15.3999996185302,L1207
-33.599998474121,13.1000003814697,-14.6999998092651,L1207
-35.7999992370605,-9.89999961853027,-2.70000004768371,L1207
-35.7000007629394,-5.5,-2.20000004768371,L1207
-35.2999992370605,-6.40000009536743,-2.79999995231628,L1207
-33.7000007629394,-5.90000009536743,-3.59999990463256,L1207
-32.9000015258789,1.79999995231628,-6.5,L1207
-32.9000015258789,-2.90000009536743,-6.5,L1207
-32.9000015258789,-3.70000004768371,-6.90000009536743,L1207
-33.2999992370605,0.200000002980232,-5.69999980926513,L1207
-33.7000007629394,-2,-4.90000009536743,L1207
-33.7000007629394,2.29999995231628,-4.90000009536743,L1207
-33.7000007629394,4.5,-5.40000009536743,L1207
-32.9000015258789,0.400000005960464,-6.69999980926513,L1207
-32.5,1.20000004768371,-9.30000019073486,L1207
-31.2999992370605,2.79999995231628,-10.1000003814697,L1207
-30.5,-1.10000002384185,-10.8999996185302,L1207
-30.1000003814697,4.30000019073486,-13.8000001907348,L1207
-28.7999992370605,1.20000004768371,-14.3000001907348,L1207
-28.3999996185302,1,-14.3000001907348,L1207
-27.6000003814697,1.10000002384185,-16.7000007629394,L1207
-9.30000019073486,-25.1000003814697,-8.80000019073486,L1207
-6.09999990463256,-25.1000003814697,-9.80000019073486,L1207
-10.5,-24.2999992370605,-10.1000003814697,L1207
-8.89999961853027,-23,-11.3000001907348,L1207
-10.1999998092651,-22.6000003814697,-13.3000001907348,L1207
-13.5,-25.7999992370605,-15,L1207
-10.6999998092651,-28.2000007629394,-15.3999996185302,L1207
-10.5,-27.7999992370605,-15.8000001907348,L1207
-5.80000019073486,-27.3999996185302,-16.7000007629394,L1207
-5.5,-27.3999996185302,-16.2999992370605,L1207
-6.09999990463256,-27.3999996185302,-15.1000003814697,L1207
-0.300000011920928,-27.3999996185302,-14,L1207
-2.70000004768371,-24.8999996185302,-14,L1207
-4.30000019073486,-24.3999996185302,-14.8000001907348,L1207
-4.69999980926513,-25.2999992370605,-15.6000003814697,L1207
-4.19999980926513,-27.2000007629394,-16,L1207
-2.20000004768371,-27.6000003814697,-16.3999996185302,L1207
9.19999980926513,-28,-16.7999992370605,L1207
15.3000001907348,-20.7999992370605,-18.6000003814697,L1207
21.7000007629394,-8.89999961853027,-19.3999996185302,L1207
21.8999996185302,-9,-20.6000003814697,L1207
21.5,-10.1999998092651,-20.1000003814697,L1207
21.8999996185302,-9.80000019073486,-18.7999992370605,L1207
22.7999992370605,-8.60000038146972,-18.3999996185302,L1207
22.7999992370605,-9.80000019073486,-18,L1207
22.3999996185302,-8.60000038146972,-18,L1207
22,-9,-17.6000003814697,L1207
22,-8.39999961853027,-17.2000007629394,L1207
